"LOGIN DATE/TIME","LOGOUT DATE/TIME",USERNAME,"MAC ADDRESS","IP ADDRESS","IPV6 ADDRESS",ZONE,"NAS ID",REASON,"TOTAL TIME","AVERAGE SPEED","TRAFFIC USED",CLASS,BRAND,MODEL,TENANT
"2022-02-09 16:48:03","2022-02-09 16:49:04",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.6904,0.5985,Desktop,Unknown,Unknown,default
"2022-02-09 16:49:05","2022-02-09 16:50:05",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,3.1016,0.7528,Desktop,Unknown,Unknown,default
"2022-02-09 16:50:06","2022-02-09 16:51:06",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,4.4199,1.6395,Desktop,Unknown,Unknown,default
"2022-02-09 16:51:07","2022-02-09 16:52:07",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.2617,0.2150,Desktop,Unknown,Unknown,default
"2022-02-09 16:52:08","2022-02-09 16:53:08",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.6299,0.5696,Desktop,Unknown,Unknown,default
"2022-02-09 16:53:10","2022-02-09 16:54:10",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.6006,0.8979,Desktop,Unknown,Unknown,default
"2022-02-09 16:54:11","2022-02-09 16:55:11",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.3955,0.3197,Desktop,Unknown,Unknown,default
"2022-02-09 16:55:12","2022-02-09 16:56:12",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.6738,0.3889,Desktop,Unknown,Unknown,default
"2022-02-09 16:56:13","2022-02-09 16:57:14",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.7578,0.3694,Desktop,Unknown,Unknown,default
"2022-02-09 16:57:15","2022-02-09 16:58:15",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0176,0.1361,Desktop,Unknown,Unknown,default
"2022-02-09 16:58:16","2022-02-09 16:59:16",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0215,0.1924,Desktop,Unknown,Unknown,default
"2022-02-09 16:59:17","2022-02-09 17:00:17",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1035,0.5787,Desktop,Unknown,Unknown,default
"2022-02-09 17:00:18","2022-02-09 17:01:18",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.3906,0.7403,Desktop,Unknown,Unknown,default
"2022-02-09 17:01:19","2022-02-09 17:02:20",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1377,0.5121,Desktop,Unknown,Unknown,default
"2022-02-09 17:02:21","2022-02-09 17:03:21",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.5400,1.8659,Desktop,Unknown,Unknown,default
"2022-02-09 17:03:22","2022-02-09 17:04:22",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0752,0.2307,Desktop,Unknown,Unknown,default
"2022-02-09 17:04:23","2022-02-09 17:05:23",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.4209,1.5599,Desktop,Unknown,Unknown,default
"2022-02-09 17:05:24","2022-02-09 17:06:24",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0498,0.1503,Desktop,Unknown,Unknown,default
"2022-02-09 17:06:26","2022-02-09 17:07:26",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0566,0.3266,Desktop,Unknown,Unknown,default
"2022-02-09 17:07:27","2022-02-09 17:08:27",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0791,0.3925,Desktop,Unknown,Unknown,default
"2022-02-09 17:08:28","2022-02-09 17:09:28",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1152,0.3787,Desktop,Unknown,Unknown,default
"2022-02-09 17:09:29","2022-02-09 17:10:29",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1055,0.1952,Desktop,Unknown,Unknown,default
"2022-02-09 17:10:30","2022-02-09 17:11:30",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1064,0.2143,Desktop,Unknown,Unknown,default
"2022-02-09 17:11:32","2022-02-09 17:12:32",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1299,0.5082,Desktop,Unknown,Unknown,default
"2022-02-09 17:12:33","2022-02-09 17:13:33",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0518,0.1277,Desktop,Unknown,Unknown,default
